,index,Cd,Cg,Cs,Nd,Ng,Ns,Wd,Wg,Ws,alp_d,alp_g,alp_s,beta,clat,clon,complete_pixel,corr_down_funval,corr_down_success,d0_g,enough_gauges_bb,enough_gauges_pixel,eps_d,eps_g,eps_s,gam_d,gam_g,gam_s,i,j,mu0_g,ngauges_bb,ngauges_pixel,nyears_gauge,pwg,thresh,w_down_funval,esa_d,esa_s,esa_g,etaC,etaW,etaN,melev,selev
776,22601,12.757647773648547,11.378249609593967,0.646298775116475,85.0,96.0,0.8554352368691797,0.8053573512842733,0.8223764867752782,0.7193107089553864,0.2691759199036361,0.2228680558448453,0.9693484639759576,1.1055728125370534,35.125,-78.375,True,0.0005359133906403191,True,353.7096160513784,True,True,30.412498461627425,19.331320706678525,174.97462031943553,0.8917317981134221,0.8623830723085467,-0.14011671334957035,206,52,0.4230832821937051,4,1,,0.2638804611650485,1,9.103828801926284e-14,112.98372630254214,180.50745095499047,86.73885826031734,0.12123113935657487,-0.020695065781538447,-0.11458333333333333,-0.8898037330399929,-0.7565446515869559
777,22622,10.420498902846463,7.331296137084228,-0.05933247387318629,89.0,98.0,1.0145785199130035,0.7983862415520274,0.840127963170221,0.6605547322523544,0.2583761608995789,0.8963359583574416,0.9778128260187392,1.0957279366183756,40.375,-78.375,True,0.00016287525957034234,True,257.35314225591395,True,True,28.68558524147218,151.88578539416054,176.76905388946298,0.8935175475369281,0.9285809970157064,-0.0055928784433514536,206,73,0.6648424827811901,5,1,,0.2694228260380584,1,5.3734794391857577e-14,111.02256934849802,180.7800523635955,169.45184891666634,0.4213719795243273,-0.04968495687333305,-0.09183673469387756,-0.261668140879175,-0.13071463928445842
778,22734,11.28517740078166,7.512064874735684,0.18271584041273145,86.0,107.0,0.8554352368691797,0.8424485228867127,0.8193996352857658,1.2973777424808266,0.5632186604826981,0.8195321755429247,0.9723937038582676,1.0954543194636623,40.875,-78.125,True,0.0013868843797790265,True,368.98543661945456,True,True,78.20041542282794,153.7313369509102,179.05394804842132,0.9139951162463597,0.9354357797317262,0.07300470236766606,207,75,0.542317135997185,8,1,,0.29298042618841,1,1.0764722446765518e-12,138.84556906514328,184.13729679446746,187.58426031176393,0.5022736875896234,0.028128994215269106,-0.19626168224299065,-0.0808568762082564,-0.2167774226918909
779,22736,11.282511564803514,6.790264057112531,0.24496860465675868,87.0,111.0,0.8554352368691797,0.8558662639685358,0.8242197172354686,1.7474416736778635,0.8822195755616453,0.9717351274754858,0.9810229659500452,1.0836328299046558,41.375,-78.125,True,0.001474167241498983,True,912.3195069732483,True,True,119.04561241099638,154.57815994862966,175.26289960271373,0.9119595946200992,0.9246849501834142,-0.021105916862037954,207,77,0.39347158631736856,5,2,,0.3030934118961751,1,2.4042989821282394e-12,134.93875641470396,178.65320760659776,159.07437693460272,0.6615718431429087,0.03839576519621918,-0.21621621621621623,-0.08746121718488893,-0.3281885171558304
780,22846,10.753572274680014,7.55659089761518,0.09833129779485267,86.0,107.0,0.8023874758545717,0.8217080401830195,0.8517921320110093,1.2092373353544166,0.2759295673592644,0.9571385710292512,0.974368587825356,1.0827274022885145,41.375,-77.875,True,0.0001773337966161286,True,474.8133002350814,True,True,32.802474499143855,151.2407072655286,178.00341656058862,0.900811262563096,0.9242032983801196,0.05848972853270522,208,77,0.4815529376138862,5,1,,0.2919782257582102,1,2.8554936193359026e-13,118.87988233038668,182.6859145345248,158.01338682119263,0.42307191435674835,-0.03531858383918607,-0.19626168224299065,-0.14607514932057453,-0.2850480160624374
781,22851,10.300238975149243,5.4718942140345215,-0.20502009992535938,78.0,106.0,0.484100909766924,0.8398112008403338,0.8031995475346536,1.1382014615109493,0.9085085789491828,0.8958653298490741,0.9904292307273352,1.1152025032058832,42.625,-77.875,True,0.0023268921495426913,True,410.2973103344922,True,True,111.739700622738,159.04691573950566,160.40975486139382,0.9048052775426544,0.9328155630186868,-0.35242889757804025,208,82,0.5318707891028571,5,1,,0.2888625808214188,1,9.161560399206792e-13,122.99245512021535,161.95983507432905,177.5344021475864,0.8823900046771372,0.045582263359156806,-0.2641509433962264,-0.3464216499942577,-0.01942426500538459
782,22960,9.437722414312988,5.748381515302231,-0.4194772329679675,81.0,109.0,0.6432441928107479,0.8124156207571492,0.8147482937471575,0.8291527313081315,0.3042819777848576,0.8590989048237015,0.9878798320771706,1.1050849941732674,42.375,-77.625,True,0.00030537817685196875,True,178.86544717517486,True,True,33.86528922302495,131.72940422532028,165.37536548080743,0.8952677277061227,0.9225793723050202,-0.2328093395799705,209,81,0.8029992502095799,6,1,,0.2972785337406276,1,1.5010215292932114e-13,111.29574439327914,167.40433412136787,153.33438732802585,0.6418051566670907,-0.002863059681021168,-0.25688073394495414,-0.09435984572641559,-0.13227373445604232
783,23064,11.358703220757079,7.955405079105651,0.2902830944029772,83.0,107.0,0.6432441928107479,0.8158430985448264,0.8210861394636294,1.1494661082350235,0.20535208641448066,0.7606362293706365,0.9501239686934252,1.08753208983837,40.875,-77.375,True,0.00019445898810507958,True,410.814492792049,True,True,22.38198575532576,153.3928064860054,193.15665324128938,0.8921067098337635,0.9397737909671976,0.40567697772123495,210,75,0.5430591577191478,4,1,,0.2939826086956522,1,1.905142710256769e-13,108.99322303524191,203.29626407268847,201.66381847591623,0.42779696417847624,-0.006385494367531282,-0.22429906542056074,-0.19468435190940023,-0.1485375909099796
784,23182,9.964971731973737,6.152818559039778,-0.48994653905140767,77.0,109.0,0.6432441928107479,0.7962355166922704,0.7383469476670373,0.1294570009448107,0.30919673163918515,0.8999681030981482,0.9990183564569822,1.1747934624277419,42.875,-77.125,True,0.00024579710901626316,True,28457.32070324789,True,True,26.383448306141247,152.8409730673436,143.01942920825144,0.8666043828265989,0.930035684015096,-0.8532532687387758,211,83,0.14820179229457744,5,1,,0.2975674987264391,1,4.574118861455645e-14,85.3290012681286,143.15996125984083,169.8293223295217,0.6195783503697031,0.07840293673339373,-0.29357798165137616,-0.5560454116214458,0.0705770044066965
785,23398,10.859875685319539,6.544709974696128,0.06065370874766349,84.0,91.0,0.7493397148399638,0.8194774808233514,0.8307126748872471,0.8634571359859837,0.9096886449378796,0.9298151261551384,0.9751947794523596,1.0921114454854577,41.875,-76.625,True,0.0021950801333441875,True,353.88233721383773,True,True,127.34043944876163,139.82268920049356,179.3435075569669,0.9152720563853124,0.9208371134480424,0.09541737543385247,213,79,0.4885958544521565,5,1,,0.2501123343068973,1,2.455813330470847e-13,139.98244361669194,183.90531956875415,150.3768709148364,0.65933643007974,-0.013524765425567489,-0.07692307692307693,-0.28774239628622905,-0.30720658700507886
